Materials,adsorption_energy
Ir_1@RuO2(100)_2#O,1.6238
Ir_1@RuO2(100)_2#OH,0.4837
Ir_1@RuO2(100)_2#OOH,3.2856
Ir_1@RuO2(101)_1#O,2.075
Ir_1@RuO2(101)_1#OH,0.2472
Ir_1@RuO2(101)_1#OOH,3.6179
Ir_1@RuO2(101)_2#O,1.7553
Ir_1@RuO2(101)_2#OH,0.4327
Ir_1@RuO2(101)_2#OOH,3.5321
Ir_1@RuO2(110)_1#O,1.8779
Ir_1@RuO2(110)_1#OH,0.1528
Ir_1@RuO2(110)_1#OOH,3.1219
Ir_1@RuO2(110)_2#O,1.6239
Ir_1@RuO2(110)_2#OH,0.4028
Ir_1@RuO2(110)_2#OOH,3.2984
Ir_1@RuO2(111)_1#O,1.9621
Ir_1@RuO2(111)_1#OH,0.2955
Ir_1@RuO2(111)_1#OOH,3.2868
Ir_2@IrO2(001)_1#O,2.2468
Ir_2@IrO2(001)_1#OH,0.6125
Ir_2@IrO2(001)_1#OOH,3.5871
Ir_2@RuO2(001)_1#O,1.6437
Ir_2@RuO2(001)_1#OH,0.4105
Ir_2@RuO2(001)_1#OOH,3.3965
Ir_2@RuO2(110)_1#O,1.5504
Ir_2@RuO2(110)_1#OH,0.341
Ir_2@RuO2(110)_1#OOH,3.3091
Ir_2@RuO2(111)_1#O,1.541
Ir_2@RuO2(111)_1#OH,0.4108
Ir_2@RuO2(111)_1#OOH,3.392
IrO2(001)#O,2.2468
IrO2(001)#OH,0.6122
IrO2(001)#OOH,3.5864
IrO2(100)#O,1.6168
IrO2(100)#OH,-0.0748
IrO2(100)#OOH,2.8455
IrO2(101)#O,1.9942
IrO2(101)#OH,0.1513
IrO2(101)#OOH,3.0676
IrO2(110)#O,1.6865
IrO2(110)#OH,-0.0581
IrO2(110)#OOH,2.7751
IrO2(111)#O,1.9579
IrO2(111)#OH,0.2511
IrO2(111)#OOH,3.2307
Mn_1@IrO2(001)_1#O,2.1555
Mn_1@IrO2(001)_1#OH,0.6645
Mn_1@IrO2(001)_1#OOH,3.5879
