Materials adsorption_energy
Mo_2@IrO2(001)_1#OH 0.76 
Mo_2@IrO2(001)_1#OOH 3.75 
Mo_2@IrO2(110)_1#O 1.60 
Mo_2@IrO2(110)_1#OH -0.27 
Mo_2@IrO2(110)_1#OOH 2.74 
Mo_2@IrO2(111)_1#O 1.78 
Mo_2@IrO2(111)_1#OH -0.03 
Mo_2@IrO2(111)_1#OOH 2.93 
Mo_2@RuO2(001)_1#O 1.70 
Mo_2@RuO2(001)_1#OH 0.37 
Mo_2@RuO2(001)_1#OOH 3.36 
Mo_2@RuO2(110)_1#O 1.46 
Mo_2@RuO2(110)_1#OH 0.22 
Mo_2@RuO2(110)_1#OOH 3.18 
Mo_2@RuO2(111)_1#O 1.22 
Mo_2@RuO2(111)_1#OH -0.01 
Mo_2@RuO2(111)_1#OOH 2.94 
Ni_1@IrO2(001)_1#OH 1.63 
Ni_1@IrO2(100)_1#O 2.71 
Ni_1@IrO2(100)_1#OH 0.84 
Ni_1@IrO2(100)_1#OOH 3.52 
Ni_1@IrO2(100)_2#O 1.56 
Ni_1@IrO2(100)_2#OH -0.19 
Ni_1@IrO2(100)_2#OOH 3.17 
Ni_1@IrO2(101)_1#O 3.43 
Ni_1@IrO2(101)_1#OH 1.20 
Ni_1@IrO2(101)_2#O 2.16 
Ni_1@IrO2(101)_2#OH 0.36 
Ni_1@IrO2(110)_1#O 3.08 
Ni_1@IrO2(110)_1#OH 0.95 
Ni_1@IrO2(110)_1#OOH 3.87 
Ni_1@IrO2(110)_2#O 1.51 
Ni_1@IrO2(110)_2#OH -0.10 
Ni_1@IrO2(110)_2#OOH 2.84 
Ni_1@IrO2(111)_1#O 3.56 
Ni_1@IrO2(111)_1#OH 1.27 
Ni_1@IrO2(111)_1#OOH 3.83 
Ni_1@RuO2(001)_1#OH 1.44 
Ni_1@RuO2(100)_1#O 3.12 
Ni_1@RuO2(100)_1#OH 1.05 
Ni_1@RuO2(100)_1#OOH 3.75 
Ni_1@RuO2(100)_2#O 1.75 
Ni_1@RuO2(100)_2#OH 0.58 
Ni_1@RuO2(101)_1#O 3.54 
Ni_1@RuO2(101)_1#OH 1.28 
Ni_1@RuO2(101)_1#OOH 3.93 
Ni_1@RuO2(101)_2#O 1.96 
Ni_1@RuO2(101)_2#OH 0.64 
Ni_1@RuO2(101)_2#OOH 3.51 
Ni_1@RuO2(110)_1#O 3.19 
Ni_1@RuO2(110)_1#OH 1.04 
Ni_1@RuO2(110)_1#OOH 3.97 
Ni_1@RuO2(110)_2#O 1.65 
Ni_1@RuO2(110)_2#OH 0.45 
Ni_1@RuO2(110)_2#OOH 3.34 
Ni_1@RuO2(111)_1#O 3.63 
Ni_1@RuO2(111)_1#OH 1.35 
Ni_1@RuO2(111)_1#OOH 3.93 
Ni_2@IrO2(001)_1#O 2.30 
Ni_2@IrO2(001)_1#OH 0.66 
Ni_2@IrO2(001)_1#OOH 3.60 
Ni_2@IrO2(110)_1#O 1.62 
Ni_2@IrO2(110)_1#OH -0.15 
Ni_2@IrO2(110)_1#OOH 2.81 
Ni_2@IrO2(111)_1#O 2.20 
Ni_2@IrO2(111)_1#OH 0.54 
Ni_2@IrO2(111)_1#OOH 3.38 
Ni_2@RuO2(001)_1#O 1.95 
Ni_2@RuO2(001)_1#OH 0.80 
Ni_2@RuO2(001)_1#OOH 3.75 
Ni_2@RuO2(110)_1#O 1.61 
Ni_2@RuO2(110)_1#OH 0.43 
Ni_2@RuO2(110)_1#OOH 3.44 
Ni_2@RuO2(111)_1#O 1.89 
Ni_2@RuO2(111)_1#OH 0.74 
Ni_2@RuO2(111)_1#OOH 3.69 
Ru_1@IrO2(001)_1#O 1.61 
Ru_1@IrO2(001)_1#OH 0.36 
Ru_1@IrO2(001)_1#OOH 3.32 
Ru_1@IrO2(100)_1#O 1.39 
Ru_1@IrO2(100)_1#OH 0.24 
Ru_1@IrO2(100)_1#OOH 3.10 
Ru_1@IrO2(100)_2#O 1.52 
Ru_1@IrO2(100)_2#OH -0.08 
Ru_1@IrO2(100)_2#OOH 2.85 
Ru_1@IrO2(101)_1#O 1.66 
Ru_1@IrO2(101)_1#OH 0.32 
Ru_1@IrO2(101)_1#OOH 3.65 
Ru_1@IrO2(101)_2#O 1.91 
Ru_1@IrO2(101)_2#OH 0.09 
Ru_1@IrO2(101)_2#OOH 3.44 
Ru_1@IrO2(110)_1#O 1.34 
Ru_1@IrO2(110)_1#OH 0.18 
Ru_1@IrO2(110)_1#OOH 2.96 
Ru_1@IrO2(110)_2#O 1.61 
Ru_1@IrO2(110)_2#OH -0.09 
Ru_1@IrO2(110)_2#OOH 2.77 
Ru_1@IrO2(111)_1#O 1.54 
Ru_1@IrO2(111)_1#OH 0.43 
Ru_1@IrO2(111)_1#OOH 3.38 
Ru_2@IrO2(001)_1#O 2.28 
Ru_2@IrO2(001)_1#OH 0.69 
Ru_2@IrO2(001)_1#OOH 3.67 
Ru_2@IrO2(110)_1#O 1.66 
Ru_2@IrO2(110)_1#OH -0.06 
Ru_2@IrO2(110)_1#OOH 2.79 
Ru_2@IrO2(111)_1#O 1.93 
Ru_2@IrO2(111)_1#OH 0.19 
Ru_2@IrO2(111)_1#OOH 3.17 
Ru_2@RuO2(001)_1#O 1.80 
Ru_2@RuO2(001)_1#OH 0.51 
Ru_2@RuO2(001)_1#OOH 3.52 
RuO2(001)#O 1.81 
RuO2(001)#OH 0.52 
RuO2(001)#OOH 3.53 
RuO2(100)#O 1.59 
RuO2(100)#OH 0.46 
RuO2(100)#OOH 3.26 
RuO2(101)#O 1.77 
RuO2(101)#OH 0.43 
RuO2(101)#OOH 3.76 
RuO2(110)#O 1.55 
RuO2(110)#OH 0.36 
RuO2(110)#OOH 3.32 
RuO2(111)#O 1.63 
RuO2(111)#OH 0.40 
RuO2(111)#OOH 3.38 
Ti_1@IrO2(001)_1#OH 0.94 
Ti_1@IrO2(001)_1#OOH 3.81 
Ti_1@IrO2(100)_1#O 2.72 
Ti_1@IrO2(100)_1#OH 0.56 
Ti_1@IrO2(100)_1#OOH 3.75 
Ti_1@IrO2(100)_2#O 1.77 
Ti_1@IrO2(100)_2#OH 0.12 
Ti_1@IrO2(100)_2#OOH 3.04 
Ti_1@IrO2(101)_1#O 2.57 
Ti_1@IrO2(101)_1#OH 0.42 
Ti_1@IrO2(101)_1#OOH 3.70 
Ti_1@IrO2(101)_2#O 1.96 
Ti_1@IrO2(101)_2#OH 0.23 
Ti_1@IrO2(110)_1#O 1.99 
Ti_1@IrO2(110)_1#OH 0.19 
Ti_1@IrO2(110)_1#OOH 3.49 
Ti_1@IrO2(110)_2#O 1.64 
Ti_1@IrO2(110)_2#OH -0.05 
Ti_1@IrO2(110)_2#OOH 2.98 
Ti_1@IrO2(111)_1#O 2.86 
Ti_1@IrO2(111)_1#OH 0.52 
Ti_1@IrO2(111)_1#OOH 3.69 
Ti_1@RuO2(001)_1#O 3.60 
Ti_1@RuO2(001)_1#OH 0.64 
Ti_1@RuO2(001)_1#OOH 3.66 
Ti_1@RuO2(100)_1#O 2.62 
Ti_1@RuO2(100)_1#OH 0.66 
Ti_1@RuO2(100)_1#OOH 3.88 
Ti_1@RuO2(100)_2#O 1.90 
Ti_1@RuO2(100)_2#OH 0.58 
Ti_1@RuO2(100)_2#OOH 3.39 
Ti_1@RuO2(101)_1#O 2.42 
Ti_1@RuO2(101)_1#OH 0.60 
Ti_1@RuO2(101)_1#OOH 3.86 
Ti_1@RuO2(101)_2#O 1.59 
Ti_1@RuO2(101)_2#OH 0.33 
Ti_1@RuO2(101)_2#OOH 3.23 
Ti_1@RuO2(110)_1#O 2.27 
Ti_1@RuO2(110)_1#OH 0.49 
Ti_1@RuO2(110)_1#OOH 3.90 
Ti_1@RuO2(110)_2#O 1.69 
Ti_1@RuO2(110)_2#OH 0.49 
Ti_1@RuO2(110)_2#OOH 3.48 
Ti_1@RuO2(111)_1#O 2.35 
Ti_1@RuO2(111)_1#OH 0.40 
Ti_1@RuO2(111)_1#OOH 3.69 
Ti_2@IrO2(001)_1#O 2.30 
Ti_2@IrO2(001)_1#OH 0.79 
Ti_2@IrO2(001)_1#OOH 3.75 
Ti_2@IrO2(110)_1#O 1.63 
Ti_2@IrO2(110)_1#OH -0.18 
Ti_2@IrO2(110)_1#OOH 2.76 
Ti_2@IrO2(111)_1#O 1.59 
Ti_2@IrO2(111)_1#OH 0.12 
Ti_2@IrO2(111)_1#OOH 3.10 
Ti_2@RuO2(001)_1#O 1.65 
Ti_2@RuO2(001)_1#OH 0.37 
Ti_2@RuO2(001)_1#OOH 3.35 
Ti_2@RuO2(110)_1#O 1.54 
Ti_2@RuO2(110)_1#OH 0.37 
Ti_2@RuO2(110)_1#OOH 3.32 
Ti_2@RuO2(111)_1#O 1.14 
Ti_2@RuO2(111)_1#OH 0.04 
Ti_2@RuO2(111)_1#OOH 3.29 
W_1@IrO2(001)_1#O 1.60 
W_1@IrO2(001)_1#OH -0.41 
W_1@IrO2(001)_1#OOH 2.96 
W_1@IrO2(100)_1#O 0.56 
W_1@IrO2(100)_1#OH -0.66 
W_1@IrO2(100)_1#OOH 2.82 
W_1@IrO2(100)_2#O 1.46 
W_1@IrO2(100)_2#OH -0.24 
W_1@IrO2(100)_2#OOH 2.79 
W_1@IrO2(101)_1#O 0.02 
W_1@IrO2(101)_1#OH -1.17 
W_1@IrO2(101)_1#OOH 2.38 
W_1@IrO2(101)_2#O 1.98 
W_1@IrO2(101)_2#OH 0.09 
W_1@IrO2(101)_2#OOH 2.94 
W_1@IrO2(110)_1#O -0.01 
W_1@IrO2(110)_1#OH -0.83 
W_1@IrO2(110)_1#OOH 2.76 
